0,293,551
1,293,710
2,324,916
3,362,1053
4,445,1180
5,538,1296
6,623,1388
7,707,1463
8,798,1486
9,883,1466
10,988,1376
11,1059,1297
12,1170,1180
13,1246,1061
14,1279,917
15,1310,717
16,1303,554
17,352,414
18,425,335
19,537,324
20,670,368
21,751,432
22,923,420
23,1002,370
24,1103,344
25,1202,358
26,1261,430
27,821,521
28,824,619
29,824,769
30,824,899
31,629,925
32,723,968
33,818,984
34,906,961
35,1004,932
36,440,598
37,495,555
38,610,554
39,691,608
40,603,639
41,492,632
42,946,617
43,1030,567
44,1141,570
45,1189,617
46,1133,650
47,1023,648
48,616,1111
49,688,1082
50,753,1079
51,815,1079
52,890,1085
53,978,1095
54,1037,1109
55,981,1176
56,912,1206
57,815,1215
58,714,1203
59,654,1177
60,677,1112
61,746,1108
62,814,1112
63,892,1114
64,948,1119
65,892,1130
66,813,1130
67,743,1128
68,299,436
69,326,224
70,492,140
71,823,108
72,1107,150
73,1256,263
74,1297,440
